书名,作者,总点击量,字数,简介
黑篮之球场之神,无时无辰,3879万,765万,热爱运动的叶铭因为身体原因无法在运动方面取得成就。直到遇上了运动之神系统！！黄濑凉太：“我会超级模仿！”叶铭：“我也会超级模仿，我还有模仿加强。......
网游之从洪荒世界归来,爱笑的龙龟,3878万,785万,天地骤变，灵气复苏，网游天启开服，号称可以将游戏变为现实的游戏。因此，无数人进入游戏，希望能够改变命运！主角穿越亿万年归来，以凡人之躯进入游戏，......
都市之我爸是首富,我次柠檬,3877万,734万,林宇穿越平行世界，老爸林化云作为亚洲首富，手握千达集团和TT集团，简直就是BAT的结合体！本以为能混吃混喝等死，没想到被系统附身，开始了成为世界......
神奇宝贝：完美开局,黑白的假面,3845万,1077万,重生了，而且重生后还是小智？和原著的世界不同的是旅行时间是15岁？看来可以开始自己的操作了！这是一位旅行前就开始赚钱的小智，这是为旅行前就开始训......
从急诊科医生开始,一��,3834万,371万,周元穿越到急诊科医生的世界，并且激活了大医系统。然而他发现，这个世界并不仅仅是急诊科医生那么简单。这是一个医生剧融合的世界，外科风云、产科医生、......
精灵之无限兑换系统,爱幻想的龙,3831万,690万,【飞卢中文网A级签约作品：精灵之无限兑换系统】这是个“小精灵训练家”在世界各处活跃的精灵的世界。这是最棒的世代，也是属于我――御龙流云的时代来自......
海贼之咸鱼国王,皮皮兔,3830万,1005万,罗修正在宿舍阳台碎觉晒太阳，没想到一觉醒来穿越到了海贼世界，成为了新世界一个国家的国王。“叮，咸鱼国王系统绑定成功！”“获得至尊咸鱼体：只要晒太......
我的未婚妻是主播,绝地,3821万,418万,一觉醒来，林寒发现斗渔当红女主播萌小团，居然是自己的未婚妻。获得超级游戏天赋能力的林寒，表示毫无压力。网游界中，至此出现了一位钢铁直男玩家。萌小......
娱乐之我的老婆是江莱,傲,3820万,419万,如果，我也能像小说里那样，一边赚钱一边泡妹走上人生巅峰的话，那就真的太好了！”李政望着天空念叨着。只是当他话音刚落，一颗流星直接砸到了李政的身上......
娱乐之QQ牧场系统,诗成泣鬼神,3812万,735万,我叫周瑜景，一觉醒来，多了个可爱粘人的女儿，为了女儿能快乐健康的成长，身为父亲，做的一切都是值得的........
我家动物园通大唐,三米,3809万,383万,经营私人动物园的红三代李易，意外发现，自己在动物园内，能穿越到千年前的贞观大唐。不仅如此，但凡是在动物园内的东西，都能被带过去。于是，在现代，一......
Moba：巅峰时代,一只凉鱼,3797万,552万,（作者是峡・谷之巅的超凡大师，S5，S6时期也打到过一区王者，主打上单位置，操作细节意识这方面品质保证，绝不含弱智光环）S5时期，韩援大量流入各......
网王之绝对力量,龙门吃货,3795万,553万,穿越到网球王子的世界，成为迹部家族的长子，获得一个还在封印中的力量侧重的网王系统。重来一世，不去巅峰看一看风景怎么对得起这次机会？平等院，鬼十次......
我把洪荒玩坏了,小清新_,3785万,1616万,咸鱼进洪荒，获咸鱼系统，从此走上能躺着绝对不坐着，能坐着绝对不坐着的道路。修炼？修炼是不存在的，这辈子都不存在的，吃吃东西喝喝水就能突破，修什么......
吾乃接引道人,蓝天1,3762万,332万,穿越洪荒世界，夺舍了西方大教主接引道人！主角：“为毛线我偏偏成了人人痛骂的无耻接引？诶，好像准提才是无耻的，跟我没关系！”以后世之人对佛教理解改......
网王之开局满级,Key,3749万,442万,在海贼世界，他抢了黄猿的闪闪果实，并且一步步登顶成为了最高战力的大将。然而再和赤犬争夺元帅的位置时候，再次意外的来网球王子的世界。精通三色霸气，......
大唐之老子最强,摸金泰斗,3732万,825万,大唐初定，玄武门事变爆发，李二逼宫，弑兄杀弟，霸嫂欺媳。李玄一觉苏醒穿越而来，成了太子李建成，死而复生。神级抽奖系统加身，抽取历史猛将，超神科技......
重生之最强警犬,传奇老司机,3730万,411万,陈阳穿越平行世界，郁闷的发现自己居然变成了一条狼狗！幸好，它的主人是个年轻貌美的警花!什么？还有破案系统？只要帮助女主人破案，就能得到系统的奖励......
我打造了长生俱乐部,我姓俞,3725万,684万,陆离在魔都工作，碌碌无为，看不到希望……他想要改变，想要成为大人物，想要拥有金钱，想要拥有权势，想要拥有女人，但…他只是个平庸的人，只是个普通的......
史莱姆的绅士综漫之旅,夜冥羽,3721万,1199万,正在更新：平凡职业造就世界最强佛系码字，因为日常还有其他事情要做的缘故，所以一天稳定两更。接受一切有益有营养的意见，有什么想看的同人都可以直接和......
特工：三年又三年，我成了将统,MK,3704万,819万,周寒一朝穿越到了谍战融合的平行世界，开局被军统六哥郑耀先收为关门弟子。一个月后，周寒出师，狸猫换太子的身份潜伏回特高课。于是乎，令人日伪特务无比......
万界之八号当铺,南柯一梦,3687万,321万,....
洪荒:我能合成万物,向往的咸鱼,3671万,397万,准提:这小子哪来的这么多灵宝！老子:哎！这徒弟不好教啊！宝贝比师傅还多！通天:师侄，这些都是你师弟，你看是不是给点见面礼？青云:那边角落有一筐先......
都市之一百项修改器,膨胀的小剑剑,3662万,554万,苏武重生了，还带着100项修改器系统！从此他吊炸天了！F1：正在学**技能经验+99999！F2：武道根骨基础天赋+99999！F3：视野无限缩......
我在西游直播,爱吃猫的老鼠,3645万,473万,唐生一不小心穿越成了唐三藏，在得知整个西游的妖怪都要吃自己后，他做出了一个非常重要的决定，那就是一路吃到西天，上演一场舌尖上的西游。孙悟空：师傅......
大唐之少年锦衣侯,木十二,3625万,417万,穿越大唐，成为少年，手掌乾坤，脚踩日月！他建立神机营，他灭了突厥，他创立锦衣卫，他创立了六扇门！他，乃是皇帝都不敢触其锋芒的并肩王！大臣？皇帝？......
西游：最强Wifi系统,我不爱吃榴莲,3617万,464万,穿越西游成为预备天兵，没有功法、神通、体质，陆寒表示压力山大。幸好觉醒最强wifi系统，让我能下载到他人身上的功法，体质，神通。什么？杨戬路过天......
全民领主：从零开始打造不朽仙域,机械之主,3613万,731万,人人可成仙，人人可成神！这是一个全民领主时代，也是有仙神同行，神话不仅仅是故事的时代！吴池穿越平行世界，一脚迈入了这个诸天争渡，万族喋血的激昂大......
武侠之神级造反系统,叶开,3613万,495万,天生反骨，穿越秦时世界，凌天获得神级造反系统，从此开始了狂霸酷炫的造反生涯。造反无罪，造反有理！农家众堂主：你区区一个一株杂役，竟妄想当侠魁？六......
Moba：我是冠军FMVP,百花杀,3604万,315万,重生S7的IG，成为和Ning一起加入IG的替补打野。开局就是S赛生死局。这时的IG，青涩的TheShy，租借过来的Ning，老队长肉鸡，西皇和......
崩坏世界的我天命上班,勤勉的清洁工,3593万,671万,神秘的灾害“崩坏”侵蚀了世界，被崩坏感染的人类，变成了没有思维，只懂破坏的“死士”，它们和从崩坏中诞生的巨大怪物“崩坏兽”，一同对这个世界造成了......
武侠之绝世武神,夏侯南,3585万,417万,宋一阳曾经是黄飞鸿的师侄，是鬼脚七的师弟，泡过十三姨。在鹿鼎记中，与神龙教教主��儿，谈谈人生理想，杀过康熙打过顺治，捅死冯锡范。曾经是打过东方不......
我在漫威拍电影,鹿丸无敌,3558万,522万,李维穿越漫威世界，成了一个快破产的电影公司老板。幸好觉醒了电影梦工厂系统！凡事李维拍摄出来的电影，都可以用票房去兑换电影中的物品、技术、能力！拍......
大唐：我摊牌了，我是皇帝,飞跃黄河,3557万,756万,贞观二年，王辰穿越而来，觉醒系统，但系统要等待四个月才会开启，所以开了一家无人问津的酒楼，熟悉一下大唐生活。而酒店只有一个叫做老李的顾客，经常关......
海贼世界的剑豪大将,尤亚,3546万,372万,重生海贼世界，成为无依无靠的遗孤，被前海军贝尔梅尔收养。幸好觉醒系统，杀人可爆装备，如：恶魔果实、体术技巧……他是海军有史以来，最年轻的大将，拥......
洪荒：阐教首徒,道衍天尊,3545万,444万,“叮，恭喜宿主融合超级芯片道衍，并且和您灵魂绑定，每秒钟能运行1300亿亿次。”“叮，胎化易形术，可通过基础数据，凭借着强大计算能力优化。”“叮......
综漫之冠位王者系统,绫小路,3538万,591万,第一世界从零开始的异世界生活【写的不好，建议直接从弑神者进行阅读】第二世界弑神者【已完结】第三世界FATE/Zero加苍银的碎片【已完结】第四世......
神奇宝贝之小智的旅程,BURST,3534万,185万,穿越成为小智，和皮卡丘一起的故事。....
神奇宝贝之成就大师,落唯,3533万,661万,穿越到神奇宝贝世界，获得成就系统，只要解锁成就就能获得奖励。激活系统之后。恭喜宿主解锁黄金成就‘激活系统’，获得奖励‘班吉拉’协助梦幻击败追捕它......
神奇宝贝之元素冠军,天若清玄,3516万,163万,某次神奇宝贝研讨会上，一众博士拦住了大木博士！空木博士：“老师，您家孙子辉夜到底是怎么让喷火龙会十万伏特的？”山梨博士急匆匆的说道：“十万伏特算......
夺舍了通天教主,青帝大公子,3503万,944万,穿越洪荒！夺舍了前往紫霄宫听道的通天教主。并且激活教主养成系统。能够招募诸天万界的顶级天赋者为弟子。打造洪荒第一大教，元始你阐教的弟子根脚深厚？......
终极系列之无双战神,苏夜辰,3483万,541万,苏夜辰，一个普普通通的大学生，因为一次意外，成功穿越到了终极一班的世界。并且成功绑定了一个战神系统，从此，一个拿着“战神”称号的男子，开始到处挑......
神奇宝贝之辰逸,不闹不吵,3477万,478万,这个世界或许并没有理想中的好，显得是那么的真实，但是却也并没有那么黑暗！辰逸来到了神奇宝贝的世界，开始了他在这个世界的生活！从切锋市的一所训练家......
综漫中的游戏者,潜行鱼,3475万,462万,....
造反吧，大明,造反专业户,3472万,529万,....
神奇宝贝之精灵纪元,壹叁伍,3460万,447万,神奇宝贝降临到地球，地球扩大了十倍，无数神奇宝贝降临到地球各处，新的时代即将开始，这是属于神奇宝贝和训练家的时代，史称精灵纪元。北辰重生到精灵纪......
我只想安静的做个咸鱼,养乐多,3448万,456万,林闲苦口婆心道：我真的只想安静的当一个神豪。系统：不，你不想！恭喜宿主打开VIP特权礼包，获得技能【单手法拉利】……恭喜宿主获得道具【绝对专注】......
武侠：三千魏武卒，横扫一切！,二八年华,3447万,689万,穿越到元末倚天时代，成了一帮山贼的首领，手下都是老弱残兵，而且，还要面临宋青书这些名门正派的年轻高手围剿？幸好，身怀系统，一切都不是问题！江湖，......
我被天道绑架了！,盗圣1998,3444万,238万,莫名其妙被快死的天道绑架，不修炼不突破就拉你一起死，无赖啊！无奈，沐尘被迫踏上穿越之路....洪荒世界：紫气东来三万里，老子跪收沐尘为徒？西游世......
妖尾之矢量操纵,冰上行,3442万,380万,物理矢量？随便改写！牛顿的定律在我这里根本不成立！穿越到妖精的尾巴里的陈凡，根本没想到自己带着前世的超能力一起过来了，在这呆了不出半年，他就成为......
我的世界变成了网游,不负年华,3440万,335万,吕阳万万没想到自己被闪电劈了一下，他就被属性化了，他的世界变成了网游，只有他一个玩家的网游。蚂蚁窝成为了低级副本，野鸡、野猪，就连路边的野*都成......
海贼之最强传承,天一,3439万,500万,飞卢忍界，睥睨八方，当世无敌，本以为可登临绝顶，却是为他人徒做嫁衣。少年夜泽，重生于异世，带着宇智波斑的意志，从新登临世界之巅，俯视众生，世间唯......
我在鬼片世界当差,沫沫,3425万,957万,穿越港片灵异大世界！....
海贼王之龙族系统,墨君羊,3423万,769万,“汝必以痛，偿还��越！”“汝必以眼，偿还狂妄。”“汝必以血，偿还背叛。”“我重临世界之日，诸逆臣皆当死去！”――《龙族》....
万界登录之唯一先知,诸葛村妇,3397万,325万,海贼同人新书力荐：《登录海贼：封测已成神》警告警告：地球“新世纪”，进入万界登录时代。“根据最新情报，四皇之中以红发香克斯的战力最低，在东海被一......
